,0
fasting_insulin,0.9366283929435573
fasting_hours,0.860146935902512
fasting_glucose,0.6937882187321279
education_level,0.42193480269235845
ldl_cholesterol_si,0.3832431481237077
calcium,0.37937178302758345
total_bilirubin,0.3792618010646254
globulin,0.3789098587831596
total_protein,0.37888786239056793
potassium_si,0.37864590207206017
uric_acid,0.37855791650169374
total_cholesterol,0.3785139237165105
ggt_si,0.3784919273239189
blood_urea_nitrogen,0.37846993093132725
phosphorus,0.37844793453873565
creatinine,0.3784039417535524
triglycerides,0.3784039417535524
sodium_si,0.3783819453609608
albumin,0.37833795257577757
hba1c_percent,0.3653820773393163
hdl_cholesterol,0.28078395143196516
lymphocyte_percent,0.19207250010998198
neutrophil_percent,0.19207250010998198
monocyte_percent,0.19207250010998198
platelet_count,0.19121464079890899
hematocrit,0.19119264440631736
mean_corpuscular_volume,0.19119264440631736
red_cell_distribution_width,0.19119264440631736
hemoglobin,0.19119264440631736
red_blood_cell_count,0.19119264440631736
white_blood_cell_count,0.19119264440631736
poverty_income_ratio,0.11651489155778452
age_years,0.03886762570938366
race_ethnicity,0.0
sex,0.0
